from,to,action,p(s'a|s)
96,9977,5,0.17899761336515513
96,5950,2,0.08750994431185362
96,96,3,0.09069212410501193
96,96,4,0.012728719172633254
96,2860,5,0.25139220365950676
96,11496,1,0.0007955449482895784
96,3198,0,0.00477326968973747
96,8318,3,0.002386634844868735
96,3099,5,0.002386634844868735
96,402,5,0.0007955449482895784
96,9079,5,0.0007955449482895784
96,7498,5,0.0007955449482895784
97,8238,1,1.0
98,11948,1,0.1111111111111111
98,14370,1,0.6666666666666666
98,8759,1,0.1111111111111111
98,8275,1,0.1111111111111111
99,99,1,0.6666666666666666
99,99,5,0.16666666666666666
99,1130,1,0.16666666666666666
100,3056,5,0.02857142857142857
100,7195,2,0.6
100,13644,0,0.14285714285714285
100,12492,2,0.02857142857142857
100,2787,5,0.11428571428571428
100,100,3,0.02857142857142857
100,1530,2,0.05714285714285714
101,3643,5,0.05555555555555555
101,101,2,0.1111111111111111
101,101,5,0.05555555555555555
101,101,4,0.1111111111111111
101,5158,0,0.1111111111111111
101,4655,3,0.05555555555555555
101,6667,3,0.05555555555555555
101,5229,1,0.2222222222222222
101,9182,5,0.16666666666666666
101,11689,1,0.05555555555555555
102,14349,0,1.0
103,9588,0,0.2222222222222222
103,13439,5,0.18518518518518517
103,103,2,0.07407407407407407
103,103,4,0.037037037037037035
103,103,3,0.037037037037037035
103,4953,3,0.037037037037037035
103,3154,5,0.037037037037037035
103,12867,1,0.07407407407407407
103,7064,1,0.037037037037037035
103,632,0,0.07407407407407407
103,5416,5,0.07407407407407407
103,685,2,0.037037037037037035
103,9282,5,0.037037037037037035
103,12238,5,0.037037037037037035
104,4786,2,0.07142857142857142
104,11578,5,0.32857142857142857
104,9313,5,0.2857142857142857
104,104,4,0.02857142857142857
104,104,3,0.15714285714285714
104,4766,3,0.02857142857142857
104,7634,5,0.02857142857142857
104,11414,1,0.02857142857142857
104,11730,5,0.014285714285714285
104,8197,5,0.014285714285714285
104,13277,1,0.014285714285714285
105,105,5,0.25
105,10288,3,0.25
105,8685,3,0.5
106,12913,5,0.16666666666666666
106,106,0,0.16666666666666666
106,2618,1,0.16666666666666666
106,2229,3,0.5
107,8840,5,0.4444444444444444
107,2677,1,0.1111111111111111
107,107,4,0.1111111111111111
107,107,2,0.1111111111111111
107,5594,5,0.2222222222222222
108,108,2,0.4067796610169492
108,108,5,0.1694915254237288
108,108,4,0.01694915254237288
108,9634,2,0.11864406779661017
108,9634,5,0.03389830508474576
108,12548,0,0.2033898305084746
108,2268,0,0.03389830508474576
108,484,3,0.01694915254237288
109,8706,2,0.2
109,109,5,0.3
109,109,4,0.1
109,2771,2,0.4
110,110,1,0.5267175572519084
110,110,5,0.030534351145038167
110,10715,2,0.07633587786259542
110,10715,3,0.07633587786259542
110,13873,2,0.015267175572519083
110,13873,3,0.030534351145038167
110,3790,1,0.11450381679389313
110,3790,5,0.015267175572519083
110,2076,0,0.030534351145038167
110,4901,0,0.015267175572519083
110,9394,0,0.007633587786259542
110,10510,1,0.015267175572519083
110,8642,2,0.007633587786259542
110,14382,0,0.015267175572519083
110,1772,0,0.007633587786259542
110,11029,0,0.007633587786259542
110,8091,0,0.007633587786259542
111,6044,1,0.23529411764705882
111,6962,1,0.23529411764705882
111,111,5,0.058823529411764705
111,4473,1,0.11764705882352941
111,5475,1,0.17647058823529413
111,3792,0,0.058823529411764705
111,5890,3,0.058823529411764705
111,9721,1,0.058823529411764705
112,14251,5,1.0
113,9065,0,0.5
113,6953,0,0.5
114,12451,3,0.06060606060606061
114,114,5,0.36363636363636365
114,11788,2,0.36363636363636365
114,3875,2,0.09090909090909091
114,5117,5,0.06060606060606061
114,12605,5,0.030303030303030304
114,12697,2,0.030303030303030304
115,11163,3,0.5
115,4304,0,0.5
116,1727,0,0.13157894736842105
116,903,0,0.4298245614035088
116,903,2,0.008771929824561403
116,1639,0,0.06140350877192982
116,12524,0,0.09649122807017543
116,7597,0,0.18421052631578946
116,9763,0,0.017543859649122806
116,9195,0,0.008771929824561403
116,13974,0,0.017543859649122806
116,6643,0,0.008771929824561403
116,1950,0,0.008771929824561403
116,116,1,0.008771929824561403
116,5569,3,0.008771929824561403
116,13519,0,0.008771929824561403
117,14194,0,0.25
117,117,2,0.25
117,9413,5,0.25
117,1439,1,0.25
118,10155,1,0.2
118,13922,1,0.13333333333333333
118,118,5,0.06666666666666667
118,118,2,0.06666666666666667
118,1536,1,0.2
118,11077,1,0.06666666666666667
118,6458,4,0.06666666666666667
118,927,1,0.06666666666666667
118,12350,3,0.13333333333333333
119,119,2,0.3333333333333333
119,119,5,0.3333333333333333
119,7088,3,0.3333333333333333
120,11500,1,0.6666666666666666
120,8778,1,0.3333333333333333
121,7828,0,0.5
121,11015,0,0.16666666666666666
121,8726,0,0.3333333333333333
122,10042,0,1.0
123,11809,0,1.0
124,13028,1,0.01639344262295082
124,1124,5,0.06557377049180328
124,124,3,0.2786885245901639
124,124,4,0.01639344262295082
124,1841,0,0.21311475409836064
124,4458,5,0.01639344262295082
124,12553,0,0.03278688524590164
124,731,0,0.01639344262295082
124,4241,3,0.03278688524590164
124,12048,2,0.03278688524590164
124,3900,5,0.09836065573770492
124,4760,0,0.01639344262295082
124,10706,2,0.01639344262295082
124,3840,3,0.03278688524590164
124,10134,5,0.01639344262295082
124,4615,1,0.03278688524590164
124,10944,5,0.01639344262295082
124,13178,5,0.01639344262295082
124,14405,5,0.01639344262295082
124,12263,5,0.01639344262295082
125,125,5,0.7042747021723896
125,125,2,0.18570427470217238
125,125,4,0.028731604765241767
125,5679,5,0.027330063069376315
125,5679,4,0.000700770847932726
125,5679,2,0.00350385423966363
125,34,5,0.011212333566923615
125,34,4,0.000700770847932726
125,34,2,0.00350385423966363
125,10407,3,0.012613875262789068
125,9742,1,0.002803083391730904
125,6989,1,0.00350385423966363
125,2190,0,0.00350385423966363
125,11154,1,0.01051156271899089
125,10949,0,0.001401541695865452
126,1820,0,1.0
127,3499,1,0.2857142857142857
127,9160,1,0.14285714285714285
127,5221,1,0.42857142857142855
127,12262,1,0.14285714285714285
128,128,2,0.5
128,8815,1,0.5
129,129,3,0.5639097744360902
129,129,5,0.12030075187969924
129,129,4,0.022556390977443608
129,11636,5,0.007518796992481203
129,11636,3,0.07518796992481203
129,13419,0,0.022556390977443608
129,1936,3,0.07518796992481203
129,1936,5,0.007518796992481203
129,11930,3,0.06766917293233082
129,11930,5,0.007518796992481203
129,5722,2,0.015037593984962405
129,11903,3,0.007518796992481203
129,2663,2,0.007518796992481203
130,130,5,0.5
130,4928,2,0.5
131,1171,5,0.4025974025974026
131,131,2,0.15584415584415584
131,131,5,0.08441558441558442
131,131,4,0.05194805194805195
131,11214,5,0.025974025974025976
131,8096,1,0.09740259740259741
131,7474,3,0.1038961038961039
131,817,0,0.03896103896103896
131,13297,3,0.01948051948051948
131,2945,5,0.006493506493506494
131,2945,2,0.006493506493506494
131,11588,5,0.006493506493506494
132,7735,2,0.07272727272727272
132,7735,0,0.01818181818181818
132,92,5,0.05454545454545454
132,13422,1,0.07272727272727272
132,7645,0,0.01818181818181818
132,132,2,0.03636363636363636
132,132,3,0.01818181818181818
132,12070,1,0.01818181818181818
132,6750,5,0.14545454545454545
132,12691,1,0.23636363636363636
132,3899,0,0.01818181818181818
132,7212,3,0.01818181818181818
132,6034,0,0.01818181818181818
132,2625,5,0.12727272727272726
132,8147,5,0.01818181818181818
132,11214,3,0.05454545454545454
132,4056,1,0.01818181818181818
132,1079,2,0.01818181818181818
132,6019,0,0.01818181818181818
133,10417,0,0.25
133,4362,2,0.25
133,133,2,0.125
133,114,0,0.25
133,6447,5,0.125
134,13778,0,0.6
134,5139,0,0.1
134,134,2,0.1
134,9610,2,0.2
135,5405,1,0.5
135,13802,1,0.5
136,136,3,0.11764705882352941
136,136,5,0.5294117647058824
136,5976,5,0.058823529411764705
136,1863,5,0.058823529411764705
136,1863,4,0.058823529411764705
136,1173,0,0.058823529411764705
136,1212,0,0.058823529411764705
136,5342,2,0.058823529411764705
137,292,1,1.0
138,4248,1,0.02631578947368421
138,14248,1,0.05263157894736842
138,14397,5,0.10526315789473684
138,14397,3,0.02631578947368421
138,138,5,0.2894736842105263
138,138,2,0.05263157894736842
138,138,3,0.13157894736842105
138,10118,1,0.05263157894736842
138,513,3,0.05263157894736842
138,513,5,0.05263157894736842
138,1998,1,0.02631578947368421
138,1940,0,0.05263157894736842
138,13043,1,0.02631578947368421
138,14203,0,0.02631578947368421
138,9075,1,0.02631578947368421
139,139,5,0.4
139,1811,2,0.4
139,1383,5,0.2
140,140,5,0.3488372093023256
140,140,2,0.023255813953488372
140,4146,2,0.023255813953488372
140,4146,5,0.046511627906976744
140,12204,5,0.18604651162790697
140,12204,2,0.046511627906976744
140,4930,0,0.11627906976744186
140,13531,3,0.023255813953488372
140,2848,0,0.13953488372093023
140,4908,0,0.023255813953488372
140,11038,3,0.023255813953488372
141,1728,5,0.35714285714285715
141,141,0,0.14285714285714285
141,1873,3,0.07142857142857142
141,12164,5,0.14285714285714285
141,12173,0,0.14285714285714285
141,3713,2,0.07142857142857142
141,5360,2,0.07142857142857142
142,7774,1,1.0
143,181,5,0.15139442231075698
143,2102,5,0.3745019920318725
