from,to,action,p(s'a|s)
26,3469,1,0.13333333333333333
26,6150,0,0.06666666666666667
26,6531,2,0.06666666666666667
27,2151,5,0.15
27,2151,4,0.1
27,2151,0,0.2
27,27,4,0.1
27,27,5,0.1
27,27,0,0.05
27,5779,3,0.15
27,3548,3,0.1
27,5267,2,0.05
28,1276,2,1.0
29,1014,4,1.0
30,6295,3,1.0
31,31,5,0.16666666666666666
31,31,4,0.08333333333333333
31,4233,1,0.08333333333333333
31,2670,5,0.16666666666666666
31,2670,4,0.08333333333333333
31,2670,3,0.16666666666666666
31,5492,0,0.08333333333333333
31,3667,1,0.08333333333333333
31,1287,0,0.08333333333333333
32,5536,0,0.02702702702702703
32,6256,1,0.08108108108108109
32,2599,5,0.13513513513513514
32,2599,4,0.08108108108108109
32,3081,2,0.013513513513513514
32,6191,2,0.02702702702702703
32,5317,3,0.08108108108108109
32,5002,1,0.0945945945945946
32,32,0,0.08108108108108109
32,32,5,0.06756756756756757
32,32,4,0.06756756756756757
32,5168,2,0.05405405405405406
32,1908,0,0.05405405405405406
32,707,3,0.013513513513513514
32,1791,3,0.04054054054054054
32,1506,2,0.02702702702702703
32,1880,2,0.013513513513513514
32,5928,3,0.013513513513513514
32,700,2,0.013513513513513514
32,2506,3,0.013513513513513514
33,1234,1,0.25
33,785,1,0.5
33,1646,1,0.25
34,34,3,0.3333333333333333
34,34,5,0.16666666666666666
34,34,4,0.16666666666666666
34,34,0,0.16666666666666666
34,2672,2,0.16666666666666666
35,35,4,0.18518518518518517
35,35,5,0.07407407407407407
35,35,1,0.037037037037037035
35,5623,3,0.07407407407407407
35,4768,5,0.14814814814814814
35,440,0,0.14814814814814814
35,833,3,0.037037037037037035
35,6121,3,0.037037037037037035
35,42,2,0.14814814814814814
35,1212,0,0.037037037037037035
35,3488,4,0.037037037037037035
35,3604,2,0.037037037037037035
36,1655,4,0.25
36,4351,1,0.25
36,36,4,0.25
36,103,0,0.25
37,1751,1,0.2857142857142857
37,1751,5,0.14285714285714285
37,5621,3,0.14285714285714285
37,2575,0,0.42857142857142855
38,2022,2,0.5
38,2733,3,0.5
39,39,3,0.5
39,4852,5,0.5
40,6057,1,0.07142857142857142
40,2561,0,0.07142857142857142
40,2561,2,0.07142857142857142
40,6362,2,0.07142857142857142
40,6362,4,0.07142857142857142
40,40,3,0.07142857142857142
40,40,4,0.14285714285714285
40,6066,0,0.14285714285714285
40,3191,1,0.07142857142857142
40,4544,0,0.07142857142857142
40,4321,2,0.07142857142857142
40,564,3,0.07142857142857142
41,6277,0,0.25
41,41,4,0.25
41,41,5,0.25
41,41,2,0.125
41,3387,3,0.125
42,1102,0,0.027649769585253458
42,42,4,0.16129032258064516
42,42,5,0.15207373271889402
42,42,2,0.10138248847926268
42,42,0,0.06912442396313365
42,1393,3,0.009216589861751152
42,2002,3,0.02304147465437788
42,4768,3,0.027649769585253458
42,4237,1,0.009216589861751152
42,1152,1,0.07373271889400922
42,5553,1,0.004608294930875576
42,3161,3,0.013824884792626729
42,3161,0,0.059907834101382486
42,3161,1,0.004608294930875576
42,1033,4,0.03686635944700461
42,1033,0,0.009216589861751152
42,1033,2,0.03686635944700461
42,1033,5,0.018433179723502304
42,3115,1,0.041474654377880185
42,4532,3,0.027649769585253458
42,2275,3,0.018433179723502304
42,2911,3,0.004608294930875576
42,5558,3,0.004608294930875576
42,4128,3,0.009216589861751152
42,822,3,0.013824884792626729
42,5850,1,0.009216589861751152
42,5541,3,0.009216589861751152
42,4366,4,0.009216589861751152
42,4366,2,0.009216589861751152
42,4366,0,0.004608294930875576
43,1913,3,0.3125
