from,to,action,p(s'a|s)
52,52,4,0.23076923076923078
52,52,3,0.23076923076923078
52,1107,1,0.15384615384615385
52,1138,0,0.15384615384615385
52,68,2,0.23076923076923078
53,1454,2,1.0
54,1272,1,0.5
54,62,4,0.5
55,2110,5,0.5
55,2174,0,0.5
56,1042,0,0.140625
56,1279,3,0.09375
56,56,5,0.140625
56,56,4,0.203125
56,56,1,0.109375
56,2434,2,0.21875
56,1997,0,0.03125
56,1345,1,0.015625
56,335,2,0.015625
56,1263,0,0.03125
57,1785,5,1.0
58,1779,1,1.0
59,96,1,0.3333333333333333
59,449,5,0.3333333333333333
59,1068,0,0.3333333333333333
60,1733,1,0.038461538461538464
60,60,0,0.038461538461538464
60,60,5,0.038461538461538464
60,60,2,0.3076923076923077
60,60,4,0.2692307692307692
60,60,3,0.11538461538461539
60,2313,5,0.11538461538461539
60,326,2,0.038461538461538464
60,326,4,0.038461538461538464
61,1241,0,0.2857142857142857
61,61,2,0.14285714285714285
61,61,4,0.42857142857142855
61,1598,5,0.14285714285714285
62,418,2,0.3076923076923077
62,62,5,0.23076923076923078
62,1373,4,0.07692307692307693
62,73,4,0.07692307692307693
62,1034,3,0.07692307692307693
62,1192,3,0.07692307692307693
62,277,1,0.07692307692307693
62,930,1,0.07692307692307693
63,1126,3,1.0
64,64,1,0.20577617328519857
64,64,5,0.1624548736462094
64,64,4,0.17689530685920576
64,1474,0,0.05776173285198556
64,409,3,0.17689530685920576
64,409,0,0.021660649819494584
64,2235,2,0.1407942238267148
64,2235,3,0.0036101083032490976
64,916,0,0.036101083032490974
64,680,0,0.018050541516245487
65,2354,3,1.0
66,1779,5,0.2222222222222222
66,66,2,0.2222222222222222
66,66,4,0.1111111111111111
66,1346,3,0.3333333333333333
66,758,0,0.1111111111111111
67,988,2,1.0
68,1138,0,0.2222222222222222
68,1107,1,0.2222222222222222
68,844,1,0.1111111111111111
68,52,3,0.3333333333333333
68,68,2,0.1111111111111111
69,2303,0,0.125
69,69,4,0.3125
69,69,5,0.1875
69,69,3,0.125
69,732,1,0.0625
69,931,1,0.0625
69,955,2,0.0625
69,1746,2,0.0625
70,70,2,0.14102564102564102
70,70,4,0.20512820512820512
70,70,5,0.1282051282051282
70,70,3,0.1794871794871795
70,1464,1,0.0641025641025641
70,1993,3,0.01282051282051282
70,1993,2,0.02564102564102564
70,1917,0,0.14102564102564102
70,897,1,0.01282051282051282
70,838,0,0.01282051282051282
70,1758,1,0.0641025641025641
70,2547,4,0.01282051282051282
71,71,5,0.5
71,1951,1,0.5
72,72,5,0.3333333333333333
72,72,4,0.3333333333333333
72,1146,3,0.3333333333333333
73,83,4,0.1111111111111111
73,83,0,0.1111111111111111
73,73,0,0.1111111111111111
73,73,5,0.1111111111111111
73,73,4,0.1111111111111111
73,1519,2,0.1111111111111111
73,418,2,0.1111111111111111
73,186,1,0.1111111111111111
73,1873,1,0.1111111111111111
74,74,2,0.75
74,949,5,0.25
75,75,2,0.5
75,1437,5,0.5
76,2515,4,0.6666666666666666
76,76,4,0.3333333333333333
77,77,4,0.2
77,77,2,0.2
77,267,3,0.2
77,2065,0,0.2
77,162,1,0.2
78,699,1,0.02702702702702703
78,78,4,0.13513513513513514
78,78,2,0.08108108108108109
78,2310,5,0.1891891891891892
78,670,0,0.16216216216216217
78,1732,1,0.1891891891891892
78,473,3,0.13513513513513514
78,141,1,0.02702702702702703
78,2165,5,0.02702702702702703
78,2231,1,0.02702702702702703
79,87,3,0.09212481426448738
79,1625,4,0.09063893016344725
79,1625,5,0.06092124814264487
79,1625,2,0.06092124814264487
79,79,5,0.07280832095096583
79,79,4,0.07726597325408618
79,79,2,0.08469539375928678
79,438,2,0.02674591381872214
79,438,4,0.017830609212481426
79,438,5,0.008915304606240713
79,559,1,0.01634472511144131
79,2200,1,0.08023774145616643
79,387,0,0.0787518573551263
79,929,0,0.05052005943536404
79,730,3,0.06240713224368499
79,1167,1,0.05349182763744428
79,1705,5,0.0014858841010401188
79,1705,2,0.0029717682020802376
79,1705,4,0.0029717682020802376
79,913,3,0.01337295690936107
79,37,1,0.0029717682020802376
79,1767,0,0.022288261515601784
79,2051,1,0.005943536404160475
79,341,1,0.0029717682020802376
79,609,1,0.0029717682020802376
